,frame,Z,Y,X,r_size,y_gap,mean,std,gap_from_surface,gaussian_mean,gaussian_std
0,0,47,50,326,18,20,1.0113797187805176,0.0313850753009319,10,1.0057774491230977,0.030240445413012906
1,1,43,50,193,18,20,1.0090795755386353,0.0311964191496372,10,1.004944145735367,0.02995672182676743
2,2,44,50,230,18,20,1.0071814060211182,0.0323676876723766,10,1.0021696172221035,0.030503441272106063
3,3,44,50,230,18,20,1.0070760250091553,0.0320323221385479,10,1.0054116020894823,0.02479865117096603
4,4,44,50,230,18,20,1.0065536499023438,0.0313054583966732,10,1.0086890575871423,0.02843224846539986
5,5,44,50,230,18,20,1.0074496269226074,0.0308839157223701,10,1.010125845824079,0.029296712076434216
6,6,44,50,230,18,20,1.0075045824050903,0.0312270876020193,10,1.0097389562011028,0.029913526476232005
7,7,46,50,225,18,20,1.007794737815857,0.0314659513533115,10,1.0103609153582305,0.030347874432988045
8,8,46,50,225,18,20,1.0054974555969238,0.0315653420984745,10,1.0080366985110212,0.03027135721210318
9,9,46,50,225,18,20,1.0050089359283447,0.0313771590590477,10,1.0083649958354102,0.030377377793650774
10,10,46,50,225,18,20,1.0048168897628784,0.0306937955319881,10,1.007032616986002,0.029450635493670593
11,11,46,50,225,18,20,1.0034117698669434,0.0311769247055053,10,1.0056798198574743,0.03087861292544635
12,12,46,50,225,18,20,1.0046311616897583,0.031274490058422,10,1.0062436975687719,0.03366833927717652
13,13,45,50,226,18,20,1.0029542446136477,0.0310165919363498,10,1.0044819726717586,0.0339896281738163
14,14,45,50,226,18,20,1.002687692642212,0.0314822681248188,10,1.0040304481875308,0.0344005297719253
15,15,45,50,226,18,20,1.004507303237915,0.0312648005783557,10,1.0050265760958623,0.033800088805988046
16,16,45,50,226,18,20,1.0038069486618042,0.0310776717960834,10,1.004520409141814,0.03343282780200934
17,17,45,50,226,18,20,1.0034266710281372,0.0311662349849939,10,1.004266715457029,0.03319473753042639
18,18,45,50,226,18,20,1.0016371011734009,0.030460987240076,10,1.001740606002091,0.03298755661018156
19,19,45,50,226,18,20,1.0021374225616455,0.0306355524808168,10,1.0019727436293062,0.03230629942614161
20,20,45,50,226,18,20,1.0021969079971311,0.0308815687894821,10,1.0026853976848316,0.033459835451621504
21,21,45,50,226,18,20,0.9995705485343932,0.0312853939831256,10,0.9983932360632858,0.033100356375208
22,22,45,50,226,18,20,1.0028340816497805,0.0315837897360324,10,1.0015278079483554,0.034126859452548265
23,23,45,50,226,18,20,1.0022907257080078,0.0308904070407152,10,0.9992958147074389,0.03230665862050971
24,24,45,50,226,18,20,1.000577092170715,0.0301394574344158,10,0.9976049744704465,0.032193608564968834
25,25,45,50,226,18,20,1.0017249584197998,0.030155612155795,10,1.0004151406401265,0.03294544929724461
26,26,45,50,226,18,20,1.0015466213226318,0.0300925895571708,10,0.9981420195900019,0.03190031687656362
27,27,45,50,226,18,20,1.0032919645309448,0.0310344342142343,10,0.9981004086740284,0.031815803363780835
28,28,46,50,226,18,20,1.0040874481201172,0.0307055301964283,10,0.9991819414346754,0.026680915199266724
29,29,46,50,226,18,20,1.0136948823928833,0.0312708280980587,10,1.015563868516274,0.0327193510176059
30,30,56,50,226,18,20,1.0125094652175903,0.030978750437498,10,1.0138440335569305,0.03282641946879692
31,31,57,50,225,18,20,1.0119760036468506,0.0319807566702365,10,1.0136569628919438,0.03320077928159967
32,32,57,50,225,18,20,1.008530855178833,0.0306392684578895,10,1.0113360424038622,0.031844556833145514
33,33,54,50,217,18,20,1.0069226026535034,0.0297653935849666,10,1.0094142277521785,0.031235816981677458
34,34,57,50,317,18,20,1.0076708793640137,0.0294712781906127,10,1.0107667602223716,0.0282363437843644
35,35,54,50,327,18,20,1.0074477195739746,0.0297589171677827,10,1.0100807634724949,0.030222464476835288
36,36,55,50,327,18,20,1.0094393491744995,0.0295470785349607,10,1.0117575043215168,0.029348368471064614
37,37,55,50,327,18,20,1.009793996810913,0.0305228102952241,10,1.0122703411296587,0.03242912073304766
38,38,55,50,327,18,20,1.00761878490448,0.0298722106963396,10,1.0100352406764261,0.03213907296678676
39,39,55,50,327,18,20,1.0080958604812622,0.0300731025636196,10,1.0101519837319308,0.032341353243523586
40,40,56,50,326,18,20,1.0076898336410522,0.0300717763602733,10,1.009031849268552,0.03212296028731616
41,41,56,50,326,18,20,1.0064749717712402,0.0298641547560691,10,1.0087229233050774,0.031327128312305136
42,42,53,50,326,18,20,1.0083268880844116,0.0292728003114461,10,1.0098339538112233,0.03085575758292386
43,43,53,50,326,18,20,1.0053479671478271,0.0300053246319293,10,1.0072743713556094,0.03039829799940024
44,44,53,50,326,18,20,1.0085852146148682,0.030485950410366,10,1.0101592174041223,0.031632210456654535
45,45,53,50,326,18,20,1.0083681344985962,0.0306910146027803,10,1.0105965230825467,0.03268281434373101
46,46,53,50,326,18,20,1.0088539123535156,0.029794679954648,10,1.01008330633503,0.031010743859493966
47,47,53,50,326,18,20,1.0070407390594482,0.0295901857316494,10,1.0089141526816965,0.03158227566143923
48,48,53,50,326,18,20,1.0068652629852295,0.0297673642635345,10,1.0095836425027493,0.03104466950279826
49,49,53,50,326,18,20,1.0070821046829224,0.0300447698682546,10,1.0087432369014848,0.032245940323602354
50,50,53,50,326,18,20,1.0075711011886597,0.0304322484880685,10,1.0080834202381552,0.032384689724293245
51,51,53,50,326,18,20,1.0078293085098269,0.0301267057657241,10,1.0081267030237362,0.033297933620504684
52,52,53,50,326,18,20,1.009100317955017,0.0302682444453239,10,1.0096407170718424,0.03269372996768714
53,53,53,50,326,18,20,1.0074187517166138,0.0296121761202812,10,1.0069879214423834,0.03161314027849068
54,54,53,50,326,18,20,1.007873773574829,0.0294881109148263,10,1.0080419880983575,0.0318742185356094
